train_r2,test_r2,test_logloss,test_logloss_per_set,n_train_sets,n_test_sets,converged,pool,test_year,config,lambda
0.19346390344393127,0.166098816055663,651.1394356008997,1.7694006402198361,2581,368,True,dev,2017,full_minus_Rating,0.0
0.1877881167611435,0.16295676500125045,723.5660371340937,1.9450699922959507,3004,372,True,dev,2017,full_minus_DistResidual,0.0
0.16931534266360437,0.167338026414787,622.2750398759257,1.9146924303874637,3376,325,True,dev,2018,baseline9,0.0
0.17055745165228198,0.17203176940018106,618.5461354673702,1.903218878361139,3376,325,True,dev,2018,baseline9+Trainer,0.0
0.17722931705791622,0.19416209414826102,602.2285524080146,1.8530109304861988,3376,325,True,dev,2018,baseline9+CareerStarts,0.0
0.17493473067120646,0.16227756530279003,626.0568850185588,1.9263288769801807,3376,325,True,dev,2018,baseline9+Recency,0.0
0.16959709160169534,0.1681652951860907,621.6567953493568,1.9127901395364824,3376,325,True,dev,2018,baseline9+Rating,0.0
0.1790731676135654,0.17156105331813276,578.2820147723477,1.7848210332479866,2949,324,True,dev,2018,baseline9+DistResidual,0.0
0.19110852457249794,0.19327509012594457,562.8927077396338,1.7373231720359068,2949,324,True,dev,2018,full_model,0.0
0.19100350796688104,0.1922077724787975,563.8698165017454,1.7403389398202018,2949,324,True,dev,2018,full_minus_Trainer,0.0
0.18525204021565977,0.17373144977058985,576.5292925333681,1.7794113967079264,2949,324,True,dev,2018,full_minus_CareerStarts,0.0
0.18484102057330876,0.19261457037158936,563.3535857272772,1.738745634960732,2949,324,True,dev,2018,full_minus_Recency,0.0
0.19053910480303948,0.1910787756231369,564.4251872780756,1.7420530471545541,2949,324,True,dev,2018,full_minus_Rating,0.0
0.18516581642364538,0.19534591318216044,601.1289532554067,1.8496275484781746,3376,325,True,dev,2018,full_minus_DistResidual,0.0
0.1692448095478588,0.15912742770362565,673.4157522291729,1.9576039308987583,3701,344,True,dev,2019,baseline9,0.0
0.17079680184732116,0.16595688563046962,667.873785627118,1.941493562869529,3701,344,True,dev,2019,baseline9+Trainer,0.0
0.1788551901383606,0.1785843883877012,657.8335769426396,1.9123069097169756,3701,344,True,dev,2019,baseline9+CareerStarts,0.0
